1 activityname
2 subject
3 timebodyaccelerationmeanx
4 timebodyaccelerationmeany
5 timebodyaccelerationmeanz
6 timebodyaccelerationstdx
7 timebodyaccelerationstdy
8 timebodyaccelerationstdz
9 timegravityaccelerationmeanx
10 timegravityaccelerationmeany
11 timegravityaccelerationmeanz
12 timegravityaccelerationstdx
13 timegravityaccelerationstdy
14 timegravityaccelerationstdz
15 timebodyaccelerationjerkmeanx
16 timebodyaccelerationjerkmeany
17 timebodyaccelerationjerkmeanz
18 timebodyaccelerationjerkstdx
19 timebodyaccelerationjerkstdy
20 timebodyaccelerationjerkstdz
21 timebodygyroscopemeanx
22 timebodygyroscopemeany
23 timebodygyroscopemeanz
24 timebodygyroscopestdx
25 timebodygyroscopestdy
26 timebodygyroscopestdz
27 timebodygyroscopejerkmeanx
28 timebodygyroscopejerkmeany
29 timebodygyroscopejerkmeanz
30 timebodygyroscopejerkstdx
31 timebodygyroscopejerkstdy
32 timebodygyroscopejerkstdz
33 timebodyaccelerationmagmean
34 timebodyaccelerationmagstd
35 timegravityaccelerationmagmean
36 timegravityaccelerationmagstd
37 timebodyaccelerationjerkmagmean
38 timebodyaccelerationjerkmagstd
39 timebodygyroscopemagmean
40 timebodygyroscopemagstd
41 timebodygyroscopejerkmagmean
42 timebodygyroscopejerkmagstd
43 frequencybodyaccelerationmeanx
44 frequencybodyaccelerationmeany
45 frequencybodyaccelerationmeanz
46 frequencybodyaccelerationstdx
47 frequencybodyaccelerationstdy
48 frequencybodyaccelerationstdz
49 frequencybodyaccelerationmeanfrequencyx
50 frequencybodyaccelerationmeanfrequencyy
51 frequencybodyaccelerationmeanfrequencyz
52 frequencybodyaccelerationjerkmeanx
53 frequencybodyaccelerationjerkmeany
54 frequencybodyaccelerationjerkmeanz
55 frequencybodyaccelerationjerkstdx
56 frequencybodyaccelerationjerkstdy
57 frequencybodyaccelerationjerkstdz
58 frequencybodyaccelerationjerkmeanfrequencyx
59 frequencybodyaccelerationjerkmeanfrequencyy
60 frequencybodyaccelerationjerkmeanfrequencyz
61 frequencybodygyroscopemeanx
62 frequencybodygyroscopemeany
63 frequencybodygyroscopemeanz
64 frequencybodygyroscopestdx
65 frequencybodygyroscopestdy
66 frequencybodygyroscopestdz
67 frequencybodygyroscopemeanfrequencyx
68 frequencybodygyroscopemeanfrequencyy
69 frequencybodygyroscopemeanfrequencyz
70 frequencybodyaccelerationmagmean
71 frequencybodyaccelerationmagstd
72 frequencybodyaccelerationmagmeanfrequency
73 frequencybodyaccelerationjerkmagmean
74 frequencybodyaccelerationjerkmagstd
75 frequencybodyaccelerationjerkmagmeanfrequency
76 frequencybodygyroscopemagmean
77 frequencybodygyroscopemagstd
78 frequencybodygyroscopemagmeanfrequency
79 frequencybodygyroscopejerkmagmean
80 frequencybodygyroscopejerkmagstd
81 frequencybodygyroscopejerkmagmeanfrequency
82 angletbodyaccelerationmeangravity
83 angletbodyaccelerationjerkmeangravitymean
84 angletbodygyroscopemeangravitymean
85 angletbodygyroscopejerkmeangravitymean
86 anglexgravitymean
87 angleygravitymean
88 anglezgravitymean
